Rank;Team;Won;Lost;Pct.;First NBA Season;Total Games;Division
1;San Antonio Spurs;2,006;1,226;.621;1976?77;3,232;Southwest
2;Los Angeles Lakers;3,235;2,134;.603;1948?49;5,369;Pacific
3;Boston Celtics;3,221;2,257;.588;1946?47;5,478;Atlantic
4;Phoenix Suns;2,122;1,766;.546;1968?69;3,888;Pacific
5;Oklahoma City Thunder;2,139;1,831;.539;1967?68;3,97;Northwest
6;Portland Trail Blazers;1,991;1,733;.535;1970?71;3,724;Northwest
7;Utah Jazz;1,815;1,581;.534;1974?75;3,396;Northwest
8;Chicago Bulls;2,115;1,936;.522;1966?67;4,051;Central
9;Miami Heat;1,17;1,078;.520;1988?89;2,248;Southeast
10;Houston Rockets;2,052;1,918;.517;1967?68;3,97;Southwest
11;Philadelphia 76ers;2,726;2,578;.514;1949?50;5,304;Atlantic
12;Dallas Mavericks;1,482;1,422;.510;1980?81;2,904;Southwest
13;Milwaukee Bucks;1,983;1,905;.510;1968?69;3,888;Central
14;Atlanta Hawks;2,65;2,656;.499;1949?50;5,306;Southeast
15;Indiana Pacers;1,606;1,625;.497;1976?77;3,231;Central
16;New York Knicks;2,701;2,774;.493;1946?47;5,475;Atlantic
17;Orlando Magic;1,062;1,104;.490;1989?90;2,166;Southeast
18;Detroit Pistons;2,616;2,752;.487;1948?49;5,368;Central
19;Denver Nuggets;1,563;1,669;.484;1976?77;3,232;Northwest
20;Golden State Warriors;2,59;2,884;.473;1946?47;5,474;Pacific
21;New Orleans Pelicans;528;604;.466;2002?03;1,132;Southwest
22;Cleveland Cavaliers;1,728;1,996;.464;1970?71;3,724;Central
23;Sacramento Kings;2,464;2,905;.459;1948?49;5,369;Pacific
24;Washington Wizards;2,004;2,447;.450;1961?62;4,451;Southeast
25;Charlotte Hornets;916;1,168;.440;1988?89;2,084;Southeast
26;Toronto Raptors;734;940;.438;1995?96;1,674;Atlantic
27;Brooklyn Nets;1,36;1,872;.421;1976?77;3,232;Atlantic
28;Memphis Grizzlies;694;980;.415;1995?96;1,674;Southwest
29;Los Angeles Clippers;1,469;2,255;.394;1970?71;3,724;Pacific
30;Minnesota Timberwolves;847;1,319;.391;1989?90;2,166;Northwest
